sourceFile,sheetName,rowNumber,positionNumber,description,unit,quantity,unitPrice,total,calculationText,confidence,issues
Faqja 3.xlsx,Sheet1,17,2.4,Demolimi i nivelizimit të dyshemet në hapësiren e parapare per vendosjenne kabines per duhanpiresit duke patur parasyshe evitimet e demeve te mundeshme Largimi i materialit te demoluar me taransport vertikal dhe horizontal deri në deponinë administrative apo deponi e caktuar nga organi mbikëqyrës.Llog në m2,m2,20,5,100,20.00 x 5.00 = 100.00,0.84,
Faqja 4.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 4.xlsx,Sheet1,11,,III. PUNIMËT E ZDRUKTHTARIS,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 4.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 4.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 4.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 4.xlsx,Sheet1,17,3.1,"Furnizimi, transporti dhe montimi i dyerve të brendshme 90x200 cm materiali nga PVC dhe me dimensione totale te paraqitura ne projekt . Ne kalkulim te perfshihen edhe punimi i ramit nga betoni pasi te jete demoluar si dhe te pregaditen rregullimet e nevojeshme te fasades dhe suvatimit te pershtaten me gjendjen dhe murin egzistues, si dhe te gjitha materialet dhe elementet e nevojshme per montimin e dyerve si dhe mekanizmi i mbylljes me çeles.",,1,250,250,1.00 x 250.00 = 250.00,0.84,
Faqja 5.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 5.xlsx,Sheet1,11,,"IV.PUNIMËT E KONSTRUKSIONIT METALIKE DHE ZDRUKTHTARIS (S= 16,0m²)",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 5.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 5.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 5.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 5.xlsx,Sheet1,17,4.1,Punimi i konstruksionit te kabines nga profilet e celikut e specifikuar ne llogarine statike. per konstruksionin e kabinese.Celiku duhet te montohet ne perputhje me normat dhe standardet e parapara per keto punime. Kualiteti i celikut dhe saldimit te behet ne perputhje me ISO standardet. Testet e materialit dhe punes jane te domosdoshme. Konstruksioni i celikut lyhet me ngjyre antikoorduese minimum dhe ngjyre per hekur. Llog. ne kg,kg,1516.52,1.5,2274.77,1516.52 x 1.50 = 2274.77,0.84,calculation_mismatch
Faqja 5.xlsx,Sheet1,24,4.2,"Blerja,furnizimi me material , dhe vendosja e mbuleses nga lamarina me termoizolim panel d=5 cm e brinjezuar me plastifikim ne pjesen e anexit dhe mveshja e pjeseve vertikale e mureve ,te pjerta dhe atikes se strehes , Llamarina duhet të jenë të sheshta , pa demtuara dhe të kualitetit të lartë.Dizajnin dhe ngjyren e percakton Investitori Në ҫmim përfshihet edhe vendosja e e mbrojteseve te rreshqitjes se borest të përforcuar me bulona ,Llogaritja për m2 të sipërfaqes se pjerte.",m2,53.64,25,1341,53.64 x 25.00 = 1341.00,0.84,
Faqja 6.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 6.xlsx,Sheet1,11,,"IV.PUNIMËT E KONSTRUKSIONIT METALIKE DHE ZDRUKTHTARIS (S= 16,0m²)",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 6.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 6.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 6.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 6.xlsx,Sheet1,17,4.3,"Furnizimi, transporti dhe montimi i dritareve të kabines fikse 80x140 cm materiali nga PVC dhe me dimensione totale te paraqitura ne projekt . Ne kalkulim te perfshihen edhe punimi i ramit nga konstruksioni metalik dhe pershtaten me gjendjen dhe murin e fasdes se kabines me solbank nga llamarina e plastifikuar, si dhe te gjitha materialet dhe elementet e nevojshme per montimin e dritareve si dhe mekanizmi i mbylljes . Llog. ne copë",cope,8,150,1200,8.00 x 150.00 = 1200.00,0.84,
Faqja 6.xlsx,Sheet1,24,4.4,"Furnizimi, transporti dhe montimi ii deres nje kraheshe nga Pvc 90x205 cm të kabines fikse 80x140 cm materiali nga PVC dhe me dimensione totale te paraqitura ne projekt . Ne kalkulim te perfshihen edhe punimi i ramit nga konstruksioni metalik dhe pershtaten me gjendjen dhe murin e fasdes se kabines me solbank nga llamarina e plastifikuar, si dhe te gjitha materialet dhe elementet e nevojshme per montimin e dritareve si dhe mekanizmi i mbylljes . Llog. ne copë",cope,1,250,250,1.00 x 250.00 = 250.00,0.84,
Faqja 7.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 7.xlsx,Sheet1,11,,V. PUNIMET TË TJERA,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 7.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 7.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 7.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 7.xlsx,Sheet1,16,5.1,"Furnizimi, transporti dhe punimi i dyshemeve e të kabines me nivelizim nga betoni gjysem i terur me punim te shtresave termoizolues nga stiroduri dhe shtresave tjera sipas standardeve . Ne kalkulim te perfshihen edhe punimi i Lminatit llajsneve perimetrike , si dhe te gjitha materialet dhe elementet e nevojshme per montimin e dyshemes . Llog. ne m²",m,16.5,16,264,16.50 x 16.00 = 264.00,0.84,
Faqja 7.xlsx,Sheet1,23,5.2,"Furnizimi, transporti dhe montimi i nje pjese te murit mr llamarin te plastifikuae Në çmim te parashifet edhe punimi i nen konstruksionit nga profilet metalikee të muri I atikes h=1.0 m me drrasa te punuara d=16 mm me mveshje nga llamarina. Në çmim te parashifen edhe mjetet lidhes si dhe platforma punueseLlog. ne m²",m,5,30,150,5.00 x 30.00 = 150.00,0.84,
